name,artist,genre,played_at,hour,day_of_week,is_weekend,is_workday,time_of_day
Fading Out,Pentire,Unknown,2025-11-17 18:20:46.537000+00:00,18,0,0,1,Afternoon
I Don't Mind,M60,Unknown,2025-11-17 18:11:12.435000+00:00,18,0,0,1,Afternoon
Motorcycle Boy,Fontaines D.C.,post-punk,2025-11-17 18:07:33.253000+00:00,18,0,0,1,Afternoon
Bug,Fontaines D.C.,post-punk,2025-11-17 18:03:51.074000+00:00,18,0,0,1,Afternoon
Death Kink,Fontaines D.C.,post-punk,2025-11-17 18:01:02.525000+00:00,18,0,0,1,Afternoon
Starburster,Fontaines D.C.,post-punk,2025-11-17 17:57:45.931000+00:00,17,0,0,1,Afternoon
7,Catfish and the Bottlemen,indie,2025-11-17 17:54:04.844000+00:00,17,0,0,1,Afternoon
Emily,Catfish and the Bottlemen,indie,2025-11-17 17:49:48.338000+00:00,17,0,0,1,Afternoon
Soundcheck,Catfish and the Bottlemen,indie,2025-11-17 17:47:21.155000+00:00,17,0,0,1,Afternoon
Tyrants,Catfish and the Bottlemen,indie,2025-11-17 17:43:41.865000+00:00,17,0,0,1,Afternoon
Cocoon,Catfish and the Bottlemen,indie,2025-11-17 17:43:24.578000+00:00,17,0,0,1,Afternoon
Emily,Wunderhorse,Unknown,2025-11-17 17:35:50.494000+00:00,17,0,0,1,Afternoon
Cariad,The Royston Club,Unknown,2025-11-17 17:31:20.990000+00:00,17,0,0,1,Afternoon
Roman Holiday (Skinty Fia Sessions),Fontaines D.C.,post-punk,2025-11-17 17:27:27.321000+00:00,17,0,0,1,Afternoon
Glued To The Bed,The Royston Club,Unknown,2025-11-17 17:23:23.569000+00:00,17,0,0,1,Afternoon
Llai Na Munud,Al Lewis Band,Unknown,2025-11-17 17:19:59.689000+00:00,17,0,0,1,Afternoon
Remember When,Wallows,indie,2025-11-17 17:16:59.630000+00:00,17,0,0,1,Afternoon
Jackie And Wilson,Hozier,Unknown,2025-11-17 17:15:51.131000+00:00,17,0,0,1,Afternoon
If You Wanna,The Vaccines,indie,2025-11-17 17:09:24.091000+00:00,17,0,0,1,Afternoon
Brenin Calonnau,Candelas,Unknown,2025-11-17 17:07:59.519000+00:00,17,0,0,1,Afternoon
Cwîn,Gwilym,Unknown,2025-11-17 17:06:40.614000+00:00,17,0,0,1,Afternoon
Roll With It - Remastered,Oasis,britpop,2025-11-17 16:55:38.343000+00:00,16,0,0,1,Afternoon
"Fine, Great",Modern Baseball,midwest emo,2025-11-17 16:51:54.495000+00:00,16,0,0,1,Afternoon
Where Is My Mind? - 2007 Remaster,Pixies,alternative rock,2025-11-17 16:51:43.798000+00:00,16,0,0,1,Afternoon
Mardy Bum,Arctic Monkeys,indie,2025-11-17 16:45:16.212000+00:00,16,0,0,1,Afternoon
How Would Someone Else Do It?,Pentire,Unknown,2025-11-17 16:43:20.395000+00:00,16,0,0,1,Afternoon
Rango,Catfish and the Bottlemen,indie,2025-11-17 16:40:18.784000+00:00,16,0,0,1,Afternoon
Fade Away,M60,Unknown,2025-11-17 16:39:09.340000+00:00,16,0,0,1,Afternoon
Angel In Lothian,Sam Fender,Unknown,2025-11-17 16:38:41.564000+00:00,16,0,0,1,Afternoon
Mariana,The Royston Club,Unknown,2025-11-17 16:36:58.633000+00:00,16,0,0,1,Afternoon
Handbags And Gladrags,Stereophonics,britpop,2025-11-17 16:32:58.385000+00:00,16,0,0,1,Afternoon
Horseness Is The Whatness,Fontaines D.C.,post-punk,2025-11-17 16:22:42.031000+00:00,16,0,0,1,Afternoon
car,Royel Otis,indie,2025-11-17 16:20:01.697000+00:00,16,0,0,1,Afternoon
Jersey Giant,"Evan Honer, Julia DiGrazia",Unknown,2025-11-17 16:18:56.089000+00:00,16,0,0,1,Afternoon
Cornerstone,Arctic Monkeys,indie,2025-11-17 16:14:36.786000+00:00,16,0,0,1,Afternoon
52,The Royston Club,Unknown,2025-11-17 16:06:06.399000+00:00,16,0,0,1,Afternoon
It's Amazing To Be Young,Fontaines D.C.,post-punk,2025-11-17 16:04:28.162000+00:00,16,0,0,1,Afternoon
Girl Behind The Glass,Wunderhorse,Unknown,2025-11-17 16:03:38.105000+00:00,16,0,0,1,Afternoon
Fight On,The Lathums,Unknown,2025-11-17 14:05:46.499000+00:00,14,0,0,1,Afternoon
Hometown,The K's,doo-wop,2025-11-17 12:58:34.607000+00:00,12,0,0,1,Morning
She's Electric - Remastered,Oasis,britpop,2025-11-17 12:53:40.091000+00:00,12,0,0,1,Morning
Saturday,Sam Fender,Unknown,2025-11-17 12:50:06.772000+00:00,12,0,0,1,Morning
From The Ritz To The Rubble,Arctic Monkeys,indie,2025-11-17 12:48:30.970000+00:00,12,0,0,1,Morning
ASA,Catfish and the Bottlemen,indie,2025-11-17 12:43:35.471000+00:00,12,0,0,1,Morning
Up in the Air,Dylan John Thomas,Unknown,2025-11-17 12:37:25.618000+00:00,12,0,0,1,Morning
Shallow Tragedy,The Royston Club,Unknown,2025-11-17 12:35:01.526000+00:00,12,0,0,1,Morning
